Бренд,Модель,Год,Город,Кузов,"Объем двигателя, л",Пробег,Коробка передач,Руль,Цвет,Привод,Растаможен в Казахстане,Цена,Средння цена,На заказ,VIN,Аварийная/Не на ходу,Двигатель
Mercedes-Benz,GL 500, 2007,Шымкент,внедорожник,5.5 (бензин),105 км,автомат,слева,черный,,Да,7 000 000 ₸,7 100 000,,,,
Mercedes-Benz,ML 320, 1999,Нур-Султан (Астана),внедорожник,3.2 (газ-бензин),230 000 км,типтроник,слева,серебристый металлик,полный привод,Да,2 700 000 ₸,2 881 000,,,,
BMW,X5, 2004,Нур-Султан (Астана),кроссовер,4.8 (бензин),,типтроник,слева,черный металлик,полный привод,Да,4 600 000 ₸,5 334 000,,,,
ВАЗ (Lada),2112 (хэтчбек), 2005,Нур-Султан (Астана),хэтчбек,1.6 (бензин),130 000 км,механика,слева,зеленый,передний привод,Нет,500 000 ₸,965 000,,,,
Mercedes-Benz,E 230, 1991,Нур-Султан (Астана),седан,2.3 (бензин),230 000 км,механика,слева,бирюзовый металлик,задний привод,Да,1 400 000 ₸,1 413 000,,,,
Nissan,Teana, 2011,Уральск,седан,2.5 (бензин),170 000 км,вариатор,слева,черный металлик,передний привод,Нет,3 500 000 ₸,5 187 000,,,,
Toyota,Land Cruiser Prado, 1997,Нур-Султан (Астана),внедорожник,3.4 (газ-бензин),120 000 км,автомат,слева,зеленый металлик,полный привод,Да,6 200 000 ₸,4 706 000,,,,
Mercedes-Benz,E 280, 1998,Актобе,седан,2.8 (бензин),,автомат,слева,синий,задний привод,Да,3 400 000 ₸,2 909 000,,,,
Toyota,Land Cruiser Prado, 2020,Нур-Султан (Астана),внедорожник,4 (бензин),4 500 км,автомат,слева,черный,полный привод,Да,30 000 000 ₸,25 150 000,,,,
ВАЗ (Lada),2114 (хэтчбек), 2011,Семей,хэтчбек,1.6 (бензин),168 000 км,механика,слева,серебристый металлик,передний привод,Да,1 600 000 ₸,1 428 000,,,,
Toyota,Corolla, 2008,Павлодар,седан,1.8 (бензин),138 000 км,автомат,слева,черный,,Да,4 990 000 ₸,4 182 000,,,,
Land Rover,Range Rover Sport, 2011,Нур-Султан (Астана),внедорожник,5 (бензин),120 000 км,автомат,слева,,полный привод,Да,12 000 000 ₸,10 600 000,,,,
Nissan,Terrano II, 1995,Шымкент,внедорожник,2.4 (бензин),,механика,слева,,полный привод,Да,2 600 000 ₸,2 340 000,,,,
Honda,Saber, 1995,Кокшетау,седан,2.5 (бензин),290 000 км,автомат,справа,серый металлик,передний привод,Да,2 200 000 ₸,1 825 000,,,,
Infiniti,FX35, 2005,Усть-Каменогорск,кроссовер,3.5 (газ-бензин),298 000 км,автомат,слева,белый металлик,полный привод,Да,5 500 000 ₸,4 967 000,,,,
ВАЗ (Lada),2110 (седан), 2004,Нур-Султан (Астана),седан,1.6 (бензин),200 км,механика,слева,зеленый металлик,передний привод,Да,1 400 000 ₸,980 000,,,,
Toyota,Land Cruiser Prado, 1998,Алматы,внедорожник,3.4 (бензин),299 000 км,механика,слева,зеленый металлик,полный привод,Да,6 500 000 ₸,5 082 000,,,,
Mercedes-Benz,E 200, 2020,Нур-Султан (Астана),седан,2 (бензин),1 000 км,автомат,слева,черный металлик,полный привод,Да,25 200 000 ₸,25 312 000,,,,
Volkswagen,Passat, 2013,Нур-Султан (Астана),седан,1.8 (бензин),131 888 км,автомат,слева,коричневый металлик,передний привод,Да,5 200 000 ₸,5 467 000,,WVWZZZ3C*DP****08,,
Honda,Accord, 1998,Актобе,седан,1.8 (газ-бензин),409 000 км,механика,слева,зеленый металлик,передний привод,Да,1 900 000 ₸,2 006 000,,,,
Mercedes-Benz,S 63 AMG, 2015,Алматы,купе,5.5 (бензин),29 000 км,типтроник,слева,красный металлик,полный привод,Да,55 000 000 ₸,36 244 000,,,,
ВАЗ (Lada),2115 (седан), 2008,Уральск,седан,1.5 (бензин),116 000 км,механика,слева,серый металлик,передний привод,Нет,1 070 000 ₸,987 000,,,,
Toyota,Crown, 2007,Нур-Султан (Астана),седан,3.5 (бензин),137 000 км,типтроник,справа,,задний привод,Нет,3 300 000 ₸,3 550 000,,,,
Toyota,Carina E, 1992,Алматы,хэтчбек,2 (бензин),,механика,слева,красный,передний привод,Да,2 000 000 ₸,1 634 000,,,,
ВАЗ (Lada),2115 (седан), 2012,Алматы,седан,1.6 (бензин),247 000 км,механика,слева,черный металлик,передний привод,Да,1 800 000 ₸,1 528 000,,,,
Mazda,626, 1990,Талдыкорган,седан,2 (бензин),450 000 км,механика,справа,красный,передний привод,Да,1 000 000 ₸,774 000,,,,
Mercedes-Benz,S 550, 2006,Алматы,седан,5.5 (бензин),173 000 км,типтроник,слева,черный,задний привод,Да,4 800 000 ₸,5 763 000,,,,
Toyota,Land Cruiser Prado, 2004,Караганда,внедорожник,4 (газ-бензин),208 800 км,автомат,слева,черный,полный привод,Да,10 200 000 ₸,8 077 000,,JTEBU29J*00****61,,
Toyota,Land Cruiser Prado, 2010,Алматы,внедорожник,3 (дизель),145 000 км,автомат,слева,серебристый металлик,полный привод,Да,10 500 000 ₸,12 377 000,,,,
Mercedes-Benz,E 200, 2013,Алматы,седан,2 (бензин),,автомат,слева,,,Да,9 250 000 ₸,9 270 000,,,,
Mercedes-Benz,E 500, 2003,Алматы,седан,5 (бензин),,автомат,слева,,,Да,4 800 000 ₸,4 588 000,,,,
ВАЗ (Lada),2115 (седан), 2003,Нур-Султан (Астана),седан,1.6 (бензин),224 567 км,механика,слева,серый,передний привод,Нет,780 000 ₸,837 000,,,,
Mercedes-Benz,GL 450, 2010,Уральск,внедорожник,4.7 (бензин),80 000 км,автомат,слева,серый металлик,полный привод,Да,9 700 000 ₸,9 700 000,,,,
Toyota,Camry, 2010,Нур-Султан (Астана),седан,2.4 (бензин),162 000 км,автомат,слева,черный металлик,передний привод,Нет,4 300 000 ₸,6 356 000,,,,
Toyota,Avensis, 2009,Караганда,седан,1.8 (бензин),210 000 км,типтроник,слева,черный металлик,,Да,5 400 000 ₸,5 151 000,,,,
